2023/04/10 21:06:58 94.102.61.25:33178 rejected  proxy/vmess/encoding: failed to read request header > tls: unsupported SSLv2 handshake received
2023/04/13 04:02:36 167.248.133.37:46812 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 04:02:36 167.248.133.37:44286 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.248.133.37:44286: read: connection reset by peer
2023/04/13 04:23:14 35.178.196.57:21345 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->35.178.196.57:21345: read: connection reset by peer
2023/04/13 04:25:19 35.178.196.57:21345 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->35.178.196.57:21345: read: connection reset by peer
2023/04/13 04:53:50 35.178.196.57:39150 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 04:53:54 35.178.196.57:33652 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 04:53:58 35.178.196.57:33666 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 04:54:02 35.178.196.57:46350 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 04:54:06 35.178.196.57:46362 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 04:54:11 35.178.196.57:46376 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 04:54:12 35.178.196.57:42018 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 04:54:15 35.178.196.57:42022 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 04:54:19 35.178.196.57:35018 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 04:54:22 35.178.196.57:35020 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 04:54:26 35.178.196.57:35022 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 04:54:29 35.178.196.57:56628 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
