2023/04/10 21:06:58 94.102.61.25:33178 rejected  proxy/vmess/encoding: failed to read request header > tls: unsupported SSLv2 handshake received
2023/04/13 04:02:36 167.248.133.37:46812 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 04:02:36 167.248.133.37:44286 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.248.133.37:44286: read: connection reset by peer
2023/04/13 04:23:14 35.178.196.57:21345 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->35.178.196.57:21345: read: connection reset by peer
2023/04/13 04:25:19 35.178.196.57:21345 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->35.178.196.57:21345: read: connection reset by peer
2023/04/13 04:53:50 35.178.196.57:39150 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 04:53:54 35.178.196.57:33652 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 04:53:58 35.178.196.57:33666 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 04:54:02 35.178.196.57:46350 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 04:54:06 35.178.196.57:46362 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 04:54:11 35.178.196.57:46376 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 04:54:12 35.178.196.57:42018 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 04:54:15 35.178.196.57:42022 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 04:54:19 35.178.196.57:35018 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 04:54:22 35.178.196.57:35020 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 04:54:26 35.178.196.57:35022 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 04:54:29 35.178.196.57:56628 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 07:37:01 94.102.61.25:50370 rejected  proxy/vmess/encoding: failed to read request header > tls: unsupported SSLv2 handshake received
2023/04/13 07:37:17 94.102.61.25:50960 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 17:30:16 141.98.83.66:64276 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 18:56:08 167.94.138.51:40572 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.94.138.51:40572: read: connection reset by peer
2023/04/13 18:56:12 167.94.138.51:50878 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 18:56:14 167.94.138.51:33038 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 18:56:14 167.94.138.51:46040 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.94.138.51:46040: read: connection reset by peer
2023/04/13 20:24:12 141.98.83.66:63590 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 20:56:26 107.170.247.19:49322 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 22:48:11 168.100.9.199:63419 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 22:48:11 168.100.9.199:63446 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 22:48:11 168.100.9.199:63458 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 22:48:26 168.100.9.199:63467 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/13 22:48:41 168.100.9.199:49278 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/14 01:04:17 159.203.132.169:45812 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/14 02:16:51 162.142.125.217:39936 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->162.142.125.217:39936: read: connection reset by peer
2023/04/14 02:16:55 162.142.125.217:44942 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/14 02:16:57 162.142.125.217:41178 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/14 02:16:57 162.142.125.217:51430 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->162.142.125.217:51430: read: connection reset by peer
2023/04/14 04:59:48 154.89.5.209:43678 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/14 05:00:00 154.89.5.209:43866 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/14 05:00:12 154.89.5.209:57426 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/14 05:00:37 154.89.5.209:37480 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/14 06:36:19 198.235.24.17:60500 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/14 12:38:40 176.12.98.222:59139 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/14 15:48:48 128.14.141.34:48592 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/14 15:48:52 128.14.141.34:38726 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/14 18:37:30 209.141.59.218:36390 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/14 19:39:41 128.90.164.243:50442 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/15 02:55:11 192.241.197.16:40104 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/15 06:12:05 35.195.93.98:40048 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/15 07:18:44 167.248.133.52:37554 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.248.133.52:37554: read: connection reset by peer
2023/04/15 07:18:49 167.248.133.52:39304 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/15 07:18:50 167.248.133.52:50892 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/15 07:18:50 167.248.133.52:57590 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.248.133.52:57590: read: connection reset by peer
2023/04/15 08:35:12 162.19.177.86:6928 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/15 11:12:14 185.234.216.126:64641 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/15 15:17:57 185.234.216.126:64834 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/15 17:20:51 194.165.16.11:37425 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/15 17:20:51 194.165.16.11:38023 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/16 00:13:08 167.94.146.58:38660 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.94.146.58:38660: read: connection reset by peer
2023/04/16 00:13:12 167.94.146.58:44414 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/16 00:13:13 167.94.146.58:40652 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/16 00:13:13 167.94.146.58:47406 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.94.146.58:47406: read: connection reset by peer
2023/04/16 04:05:36 44.242.171.21:56154 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/16 08:44:42 167.94.145.60:42540 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.94.145.60:42540: read: connection reset by peer
2023/04/16 08:44:46 167.94.145.60:43602 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/16 08:44:46 167.94.145.60:49476 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.94.145.60:49476: read: connection reset by peer
2023/04/16 08:44:47 167.94.145.60:49912 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/16 08:44:47 167.94.145.60:51528 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.94.145.60:51528: read: connection reset by peer
2023/04/16 08:45:58 192.241.213.58:53006 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
